CO,NO2,O3,SO2,PM2.5,PM10,City
191.93,0.86,88.69,0.15,3.98,4.17,Aurora
240.33,4.63,81.54,1.03,3.27,4.31,Rockville
220.3,2.91,42.56,0.59,0.7,1.39,Roswell
213.62,2.36,64.37,0.82,0.84,0.91,Knoxville
236.99,0.73,40.41,0.05,0.98,1.17,San Marcos
165.22,1.11,98.71,1.59,3.9,7.47,Vallejo
168.56,0.64,79.39,1.13,3.53,5.89,San Francisco
253.68,1.23,89.41,0.89,5.05,5.2,Muncie
203.61,0.43,64.37,0.09,2.79,8.58,Las Cruces
156.88,0.47,62.23,0.1,0.79,0.81,Sioux City
230.31,4.58,85.83,1.42,2.49,3.27,Ellicott City
233.65,2.96,231.74,6.38,29.08,35.72,Fontana
196.93,1.09,90.84,0.19,4.6,4.74,Waukegan
158.55,0.5,75.1,0.23,2.25,2.89,Eugene
191.93,4.16,174.52,4.59,10.1,16.14,Hollywood
180.24,3.77,111.58,4.35,5.61,9.55,Walnut Creek
161.89,1.04,76.53,1.01,3.13,5.88,San Mateo
236.99,0.5,47.92,0.16,1.11,1.51,Killeen
240.33,1.54,77.96,1.65,4.67,5.1,Mount Vernon
240.33,1.76,80.82,0.27,3.66,3.79,Akron
171.9,0.14,60.08,0.04,2.72,4.73,Flagstaff
161.89,0.74,78.68,0.23,3.14,3.57,Davenport
223.64,1.18,85.12,1.06,7.19,7.63,Wichita
257.02,2.06,141.62,2.77,7.72,8.14,South Bend
270.37,2.42,97.28,0.72,4.15,4.26,Livonia
253.68,1.31,75.1,0.61,6.11,6.25,Bloomington
220.3,1.39,47.21,1.21,2.97,5.73,Beaumont
216.96,1.59,70.81,0.41,4.79,9.99,Phoenix
183.58,4.5,117.3,4.47,6.65,14.34,Torrance
161.89,0.8,107.29,0.7,3.79,5.68,Loveland
226.97,7.45,220.3,11.09,19.28,29.97,Buena Park
236.99,2.96,69.38,0.91,1.67,2.36,McKinney
170.23,0.92,123.02,0.63,5.9,11.71,Temecula
163.56,2.16,86.55,1.65,3.05,8.06,New Bedford
158.55,0.83,63.66,0.1,2.39,3.43,Toledo
210.29,0.67,77.25,0.07,4.92,10.49,Avondale
155.21,1.03,43.63,1.21,0.5,0.6,Brooklyn Park
183.58,4.5,117.3,4.47,6.65,14.34,Inglewood
216.96,3.38,98.71,0.92,4.55,4.91,Chicago
243.66,3.77,72.24,0.98,4.44,5.62,Boca Raton
185.25,1.93,82.25,0.49,3.88,4.09,Overland Park
163.56,0.73,87.26,0.69,3.13,3.74,Oshkosh
250.34,1.82,52.21,0.08,1.17,1.33,Fort Myers
236.99,6.17,237.47,9.78,24.96,34.3,Pasadena
190.26,0.54,117.3,0.11,1.38,2.61,Indio
270.37,1.5,103.0,0.54,3.9,3.97,Farmington Hills
250.34,4.24,266.08,10.97,32.44,41.89,Baldwin Park
185.25,4.63,80.11,2.03,4.53,5.71,Bellevue
260.35,7.45,125.89,3.43,7.24,8.17,Gary
243.66,1.97,70.1,0.83,2.7,2.89,Dayton
170.23,1.74,103.0,1.67,5.64,14.4,Laguna Niguel
220.3,6.77,62.23,91.55,33.27,34.33,Syracuse
253.68,2.68,85.83,1.34,5.5,5.7,Indianapolis
175.24,2.7,113.01,2.21,7.09,13.88,San Jose
156.88,0.5,91.55,1.65,4.63,7.41,Topeka
185.25,1.29,115.87,1.42,5.27,7.29,Arvada
188.59,5.48,121.59,3.31,6.53,7.99,Denver
145.2,0.55,84.4,0.28,2.03,3.93,Greeley
188.59,5.01,141.62,6.26,8.31,16.42,Tustin
257.02,0.96,85.12,0.18,4.07,4.14,Fort Wayne
166.89,1.11,82.25,0.26,3.03,3.26,Shawnee
213.62,28.45,34.69,3.46,19.0,41.65,Bethlehem
178.58,4.71,86.55,1.09,2.79,6.51,Somerville
141.86,0.58,92.98,0.25,1.41,1.86,Sparks
226.97,2.66,214.58,4.23,20.94,26.03,Rialto
233.65,2.66,240.33,7.45,28.2,34.9,Pomona
183.58,0.92,90.12,0.12,3.48,3.63,Kenosha
193.6,1.56,88.69,0.22,3.65,3.81,Racine
188.59,5.01,141.62,6.26,8.31,16.42,Garden Grove
277.04,3.98,92.98,1.06,4.21,4.4,Detroit
236.99,0.5,39.7,0.02,1.15,1.49,Temple
155.21,1.02,79.39,1.01,3.4,8.29,Mountain View
158.55,0.64,72.24,0.56,1.6,1.7,Omaha
216.96,1.97,76.53,0.69,5.06,10.54,Scottsdale
186.92,5.18,98.71,1.45,3.86,8.58,Union City
185.25,0.03,32.19,6.14,2.42,2.48,New Britain
213.62,2.61,42.92,1.77,1.75,2.95,Kenner
236.99,2.96,69.38,0.91,1.67,2.36,Allen
176.91,2.29,111.58,2.47,6.07,10.38,Pleasanton
205.28,0.38,38.27,0.19,2.2,4.12,Gulfport
236.99,3.77,89.41,1.13,7.55,10.09,Wilmington
226.97,1.17,65.8,0.11,2.16,2.63,Centreville
166.89,1.35,89.41,1.25,5.96,13.99,Escondido
247.0,1.34,82.25,0.69,5.34,5.51,Fishers
160.22,1.39,32.19,0.11,2.94,3.25,Brandon
257.02,8.74,48.64,1.94,2.15,3.07,Kendall
195.27,4.93,77.25,1.06,4.5,4.92,Albany
250.34,2.04,54.36,0.64,6.14,7.13,Saint Charles
186.92,2.7,97.28,0.72,7.08,13.53,Danbury
175.24,0.73,138.76,0.4,3.02,5.19,Hemet
253.68,2.01,86.55,0.47,4.04,4.15,Cleveland
168.56,2.27,114.44,1.64,4.71,6.25,Thornton
198.6,1.56,52.21,0.5,1.36,1.52,Columbia
213.62,0.25,41.13,0.16,0.98,1.26,Enterprise
230.31,11.82,87.98,4.23,8.57,19.53,Bk
250.34,3.98,59.37,1.94,4.54,7.93,Houston
155.21,0.4,77.96,0.78,5.99,15.2,Oceanside
185.25,2.72,59.37,0.81,8.52,12.73,Orange
155.21,0.4,77.96,0.78,5.99,15.2,Carlsbad
161.89,1.35,83.69,1.25,6.22,15.98,Chula Vista
240.33,2.01,61.51,0.37,1.62,1.77,Lexington-Fayette  county
146.87,0.47,75.82,0.05,1.34,1.71,Yakima
213.62,0.58,75.1,0.25,3.12,3.63,Wichita Falls
233.65,1.44,82.25,0.18,1.75,1.93,Huntsville
153.54,0.59,73.67,0.22,1.78,2.12,Beaverton
171.9,2.64,85.83,0.37,3.06,4.79,Framingham
250.34,1.82,52.21,0.08,1.17,1.33,Cape Coral
208.62,1.89,84.4,1.51,4.92,5.17,Lee's Summit
220.3,1.91,75.82,0.44,3.09,3.75,Oklahoma City
230.31,1.04,55.08,1.3,2.89,5.82,McAllen
163.56,2.14,33.62,0.41,2.94,3.37,Odessa
190.26,0.81,44.7,0.6,1.0,1.09,Asheville
148.54,0.51,77.96,0.15,1.27,1.33,Spokane
236.99,3.3,64.37,0.64,1.66,2.45,Carrollton
220.3,0.35,31.83,0.08,1.24,2.66,Lafayette
178.58,3.47,95.84,1.86,7.6,8.4,Gresham
191.93,2.96,97.28,0.89,7.43,15.82,Norwalk
193.6,1.52,171.66,1.09,8.5,13.04,Menifee
226.97,7.45,220.3,11.09,19.28,29.97,Yorba Linda
168.56,1.41,118.73,1.8,6.66,11.12,Livermore
178.58,0.99,148.77,1.1,6.13,8.19,Hesperia
230.31,4.58,85.83,1.42,2.49,3.27,Baltimore
213.62,9.51,161.65,9.78,11.5,20.16,Whittier
226.97,0.31,26.46,0.05,1.03,1.44,College Station
166.89,0.84,125.89,1.31,5.29,10.59,Layton
165.22,1.24,118.73,1.1,3.13,4.29,Roseville
236.99,0.78,43.27,0.12,1.17,1.54,Waco
216.96,1.97,76.53,0.69,5.06,10.54,Tempe
171.9,1.61,101.57,0.32,2.03,2.25,Concord
166.89,3.51,81.54,0.8,5.51,9.27,Ames
223.64,0.3,34.33,0.31,0.93,1.38,Canton
353.81,28.79,30.4,3.93,4.06,4.37,Pittsburgh
233.65,2.96,231.74,6.38,29.08,35.72,Rancho Cucamonga
193.6,2.01,71.53,0.81,4.35,5.34,North Charleston
160.22,0.87,75.1,0.7,1.12,1.21,Riverview
156.88,0.78,60.8,0.02,1.77,2.31,San Clemente
253.68,6.77,57.22,1.51,3.49,4.46,Plantation
170.23,0.89,82.97,0.2,3.61,3.8,Olathe
226.97,0.88,75.82,0.32,3.63,6.86,Virginia Beach
